location,text
Passio_1,"τῶν δὲ Ἰουδαίων οὐδείς ἐνίψατο τὰς χεῖρας, οὐδὲ Ἡρῴδης οὐδὲ τις τῶν κριτῶν αὐτοῦ. καὶ μὴ βουληθέντων νίψασθαι, ἀνέστη Πειλᾶτος. "
Passio_2,"καὶ τότε κελεύει Ἡρῴδης ὁ βασιλεὺς παραπεμφθῆναι τὸν κύριον, εἰπὼν αὐτοῖς, ὅτι ὅσα ἐκέλευσα ὑμῖν ποιῆσαι αὐτῷ, ποιήσατε. "
Passio_3,"ἱστήκει δὲ ἐκεῖ Ἰωσὴφ, ὁ φίλος Πειλάτου καὶ τοῦ κυρίου, καὶ εἰδὼς ὅτι ἐκέλευσεν Ἡρῴδης σταυρίσκειν αὐτὸν, ἐλθών πρὸς Πειλάτον, καὶ ἤτησε τὸ σῶμα εἰς ταφήν. "
Passio_4,"καὶ Πειλᾶτος ἔφη, πρὸς Ἡρῴδην· ἤτησα αὐτοῦ τὸ σῶμα. "
Passio_5,"καὶ ὁ Ἡρῴδης ἔφη· ἀδελφέ Πειλάτε, εἰ καὶ μή τις αὐτὸν ᾔτηκει, ἡμεῖς αὐτὸν ἐθάπτομεν, ἐπεὶ καὶ σάββατον ἐπιφώσκει· γέγραπται γὰρ ἐν τῷ νόμῳ ἥλιον μὴ δῦναι ἐπὶ πεφονευμένῳ. καὶ παρέδωκεν αὐτὸν τῷ λαῷ πρὸ μιᾶς τῶν ἀζύμων τῆς ἑορτῆς αὐτῶν. "
Passio_6,"οἱ δὲ λαβόντες τὸν κύριον ὤθουν αὐτῶν τρέχοντες καὶ ἔλεγον· σύρωμεν τὸν υἱὸν τοῦ θεοῦ, ἐξουσίαν αὐτοῦ ἐσχηκότες. "
Passio_7,"καὶ πορφύραν αὐτὸν περιέβαλλον, καὶ ἐκάθισαν αὐτὸν ἐπὶ καθέδραν κρίσεως, λέγοντες· δικαίως κρῖνε, βασιλεῦ τοῦ Ἰσραήλ. "
Passio_8,"καὶ τις αὐτῶν ἐνεγκὼν στέφανον ἀκάνθινον, ἔθηκεν ἐπὶ τῆς κεφαλῆς τοῦ κυρίου. "
Passio_9,"καὶ ἕτεροι ἑστῶτες ἐνέπτυον αὐτοῦ ταῖς ὀψέσι, καὶ ἄλλοι τὰς σιαγόνας αὐτοῦ ἐράπισαν, ἕτεροι καλάμῳ ἐνύσσον αὐτόν, καί τινες αὐτὸν ἐμάστιζον λέγοντες· ταύτῃ τῇ τιμῇ τιμήσωμεν τὸν υἱὸν τοῦ θεοῦ. "
Passio_10,"καὶ ἤνεγκαν δύο κακούργους καὶ ἐσταύρωσαν ἀνὰ μέσον αὐτῶν τὸν κύριον. αὐτὸς δὲ ἐσιώπα ὡς μηδένα πόνον ἔχων. "
